year,player_name,finish,status_at_event,status_basis,confidence,evidence_note,prior_main_event_cashes,prize_usd,entries,source_file
2014,Felix Stephensen,2,Pro,semi-professional / online specialist,Medium,Treated as pro/semipro based on online poker résumé.,0,5147911,6683,final_table
2015,Joe McKeehen,1,Pro,professional player,High,McKeehen was a professional player.,1,7683346,6420,final_table
2015,Joshua Beckley,2,Pro,professional player,High,Beckley was a professional player.,0,4470896,6420,final_table
2016,Qui Nguyen,1,Pro,full-time cash player,Medium,Classified pro because event-time profile emphasized full-time poker/cash-game play.,0,8005310,6737,final_table
2016,Gordon Vayo,2,Pro,professional player,High,Vayo was a professional player.,0,4661228,6737,final_table
2017,Scott Blumstein,1,Pro,professional player,High,Blumstein was a professional player.,0,8150000,7221,final_table
2017,Dan Ott,2,Amateur,thin live résumé / amateur profile,Medium,Limited prior résumé and amateur-style event-time profile.,0,4700000,7221,final_table
2018,John Cynn,1,Pro,professional player,High,Cynn was a professional player.,1,8800000,7874,final_table
2018,Tony Miles,2,Uncertain-Crossover,mixed evidence / thin résumé,Low,"Some pro descriptions, but event-time résumé is less clear than established pros.",0,5000000,7874,final_table
2019,Hossein Ensan,1,Pro,pro / semi-pro,High,Ensan was treated as a professional/semi-professional player.,0,10000000,8569,final_table
2019,Dario Sammartino,2,Pro,elite professional player,High,Sammartino was an established elite professional.,1,6000000,8569,final_table
2020,Damian Salas,1,Pro,professional player / split-format year,High,Professional player; 2020 should be handled as a structural outlier.,4,1550969,1379,final_table
2020,Brunno Botteon,2,Pro,professional player,High,Botteon was a professional player.,0,1062723,1379,final_table
2021,Koray Aldemir,1,Pro,professional player,High,Aldemir was a professional player.,2,8000000,6650,final_table
2021,George Holmes,2,Amateur,recreational player,High,Widely framed as amateur against Aldemir.,1,4300000,6650,final_table
2022,Espen Jørstad,1,Pro,online professional,High,Jorstad was an online professional.,0,10000000,8663,final_table
2022,Adrian Attenborough,2,Pro,professional player,Medium,Treated as pro based on poker résumé.,0,6000000,8663,final_table
2023,Daniel Weinman,1,Pro,professional player,High,Weinman was a professional player.,1,12100000,10043,final_table
2023,Steven Jones,2,Uncertain-Crossover,real estate broker plus serious player,Low,Mixed profile: non-poker occupation but serious final-table performance profile.,0,6500000,10043,final_table
2024,Jonathan Tamayo,1,Pro,professional player,High,Tamayo was a professional player.,6,10000000,10112,final_table
2024,Jordan Griff,2,Amateur,data/analytics supply chain manager,High,Non-poker primary career at event time.,0,6000000,10112,final_table
2025,Michael Mizrachi,1,Pro,elite professional player,High,Mizrachi was already an elite professional player.,4,10000000,9735,final_table
2025,John Wasnock,2,Amateur,recreational player,High,Framed as a recreational/amateur runner-up.,0,6000000,9735,final_table
